States and Union Territories,1951,1961,1971,1981,1991,2001,2011
Andhra Pradesh,,21.2,24.6,35.7,44.1,60.5,67
Arunachal Pradesh,,7.1,11.3,25.6,41.6,54.3,65.4
Assam,18.5,33,33.9,,52.9,63.3,72.2
Bihar,13.5,22,23.2,32.3,37.5,47,61.8
Chhattisgarh,9.4,18.1,24.1,32.6,42.9,64.7,70.3
Gujarat,21.8,31.5,37,44.9,61.3,69.1,78
Haryana,,,25.7,37.1,55.9,67.9,75.6
Himachal Pradesh,,,,,63.9,76.5,82.8
Jammu & Kashmir,,13,21.7,30.6,,55.5,67.2
Jharkhand,12.9,21.1,23.9,35,41.4,53.6,66.4
Karnataka,,29.8,36.8,46.2,56,66.6,75.4
Kerala,47.2,55.1,69.8,78.9,89.8,90.9,94
Madhya Pradesh,13.2,21.4,27.3,38.6,44.7,63.7,69.3
Maharashtra,27.9,35.1,45.8,57.2,64.9,76.9,82.3
Manipur a,12.6,36,38.5,49.7,59.9,70.5,76.9
Meghalaya,,26.9,29.5,42.1,49.1,62.6,74.4
Mizoram,31.1,44,53.8,59.9,82.3,88.8,91.3
Nagaland,10.5,22,33.8,50.3,61.7,66.6,79.6
Odisha,15.8,21.7,26.2,33.6,49.1,63.1,72.9
Punjab,,,34.1,43.4,58.5,69.7,75.8
Rajasthan,8.5,18.1,22.6,30.1,38.6,60.4,66.1
Sikkim,,,17.7,34.1,56.9,68.8,81.4
Tamil Nadu,,36.4,45.4,54.4,62.7,73.5,80.1
Tripura,,20.2,31,50.1,60.4,73.2,87.2
Uttar Pradesh,12,20.9,24,32.7,40.7,56.3,67.7
Uttarakhand,18.9,18.1,33.3,46.1,57.8,71.6,78.8
West Bengal,24.6,34.5,38.9,48.7,57.7,68.6,76.3
A & N Islands,30.3,40.1,51.2,63.2,73,81.3,86.6
Chandigarh,,,70.4,74.8,77.8,81.9,86
D & N Haveli,,,18.1,32.9,40.7,57.6,76.2
Daman & Diu,,,,,71.2,78.2,87.1
Delhi,,62,65.1,71.9,75.3,81.7,86.2
Goa,23.5,35.4,52,65.7,75.5,82,88.7
Lakshadweep,15.2,27.2,51.8,68.4,81.8,86.7,91.8
Puducherry,,43.7,53.4,65.1,74.7,81.2,85.8
All India ,18.3,28.3,34.5,43.6,52.2,64.8,73
